user_id,name,review_count,yelping_since,useful,funny,cool,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
QF1Kuhs8iwLWANNZxebTow,Catherine,607,2009-04-27 20:25:54,4573,3714,4149,131,4.11,1020,79,68,29,23,144,407,808,808,587,723
VcLRGCG_VbAo8MxOm76jzA,AJ,133,2009-07-11 16:47:38,201,52,44,4,3.6,1,0,0,0,0,2,4,0,0,1,0
1L3O2CUTk27SnmqyPBWQdQ,Helen,38,2010-09-09 16:41:46,62,6,9,0,3.98,0,0,0,2,0,1,2,0,0,5,0
v7DwnrjzuTk7pXmuBPZnsg,Shell,39,2007-09-12 04:11:59,90,34,59,6,4.0,4,0,1,2,1,3,7,3,3,0,0
FT9CFS39sjZxVjCTrDHmdg,Stephanie,201,2010-06-14 21:44:28,555,141,203,5,3.52,10,0,0,0,0,11,8,21,21,12,0
MGPQVLsODMm9ZtYQW-g_OA,Jelena,1807,2008-01-19 22:50:00,17331,10461,13734,828,4.06,2177,167,206,395,130,915,3396,1915,1915,696,470
OlJ9vcVFB1iEKcZO-MS3cQ,Joz Joz Joz,348,2006-03-03 08:10:12,2063,1260,1537,116,3.93,319,32,27,47,6,183,543,462,462,87,29
wAw9FHMiOZd9ROoc5x4DpQ,Zuzzi,564,2007-08-05 06:34:02,819,291,459,37,3.81,46,6,6,13,6,13,19,56,56,6,3
kggqL33iZjeHmUn1Rtdjzg,Jay,15,2010-09-20 21:56:48,119,76,98,9,3.5,0,0,0,0,0,2,3,0,0,0,0
wrNOKq0hOlz8q1N_YCNXCA,Peter,30,2008-09-30 02:06:53,30,10,12,5,4.33,0,1,0,0,0,2,1,1,1,1,0
4F0IjrUJGAieoWwHnRhIJw,Liliana,254,2007-12-19 02:56:45,410,243,275,21,3.69,7,5,6,3,2,7,25,32,32,1,9
4ZaqBJqt7laPPs8xfWvr6A,Nina,801,2008-08-16 22:43:21,1944,616,737,75,3.41,24,5,1,10,0,54,71,46,46,39,10
zjPbmmvO4QzE_nE9uErLTg,Reis,49,2006-09-24 16:48:51,137,21,30,2,3.91,0,1,0,1,0,2,4,1,1,0,0
65uUyG9yuF0rdMh0z7ajaA,Don,715,2005-11-30 20:54:16,808,258,712,37,3.79,95,9,4,4,4,24,48,115,115,19,15
NIhcRW6DWvk1JQhDhXwgOQ,Lia,2288,2005-12-30 13:47:19,12773,4199,7971,345,3.69,693,63,46,47,21,518,773,867,867,310,231
aF3mEXDJuILmeF-9PcxAsQ,C.J.,250,2007-06-26 15:50:11,507,155,150,15,3.53,5,5,1,0,1,6,13,10,10,5,0
baSDvZweZk6qLY_kHPvYzQ,Michelle,300,2008-02-18 01:40:04,439,175,143,22,3.63,33,6,3,7,1,32,31,18,18,11,3
XLs_PhrJ7Qwn_RfgMM7Djw,Weili,90,2009-07-12 14:34:54,71,21,19,1,3.62,0,0,0,0,0,1,3,0,0,0,0
rppTTi-kfF8-qyiArNemag,Helen,460,2006-01-24 14:33:32,700,149,425,49,3.33,25,11,2,2,0,16,23,43,43,20,25
KYBEVBAP7QUlt1LjmatTJg,Matthew,460,2007-07-12 14:46:03,1500,1982,1210,63,3.81,256,34,29,58,27,138,117,230,230,54,24
QJI9OSEn6ujRCtrX06vs1w,J,1982,2007-03-19 18:15:32,14004,6466,9879,316,3.61,1286,98,156,52,68,786,3674,2093,2093,562,1509
AkBtT43dYcttxQ3qOzPBAg,Sherri,1034,2007-02-20 18:21:07,3066,1485,2235,114,3.84,393,26,24,83,23,229,570,528,528,118,50
KXZ8A8h7Q9ZJRU5TM9asjw,Joanne,102,2010-03-20 17:40:40,150,42,30,7,3.54,1,0,0,0,0,5,6,2,2,0,2
5cVgAicAhCTSrKzsKDuTdw,Chang,194,2007-10-07 01:53:14,279,89,90,4,3.26,1,0,0,0,0,0,7,6,6,3,3
HoiOETUtwO4CL0PhjDCnSw,Whitney,177,2008-02-19 20:09:52,466,210,328,25,3.85,42,7,11,0,8,21,65,73,73,22,1
rCedFOnskGvHQTprtA4-5g,Mike,108,2008-12-13 09:14:24,71,44,39,2,3.87,1,0,0,0,0,1,2,4,4,1,1
sgCZmOkdHBiaKaE6ZKVBaA,Chris,100,2005-12-12 06:30:39,100,19,25,2,3.19,1,1,0,0,0,2,0,3,3,1,0
yzonmWerCPxEI3ROuk6caA,Julie,65,2008-06-21 02:48:36,80,17,20,5,3.57,4,0,0,0,0,1,1,3,3,5,0
bNJmIcxc_FRWxftI_vhpbg,Peyman,58,2009-04-04 04:32:03,28,8,5,0,3.06,0,0,0,0,0,0,0,0,0,0,0
2Yw9-N2VYZFqg2ylhpb8NA,Kathryn,11,2011-01-12 23:13:34,34,3,3,1,4.0,1,0,0,0,0,0,0,0,0,0,0
og-Pb8auVwO-BA_-4TnK9Q,Jennifer,14,2011-06-13 05:46:22,29,1,3,0,4.69,0,1,0,0,0,0,0,0,0,0,0
RDTVzWPoCeGaUujrHIWRBQ,Jenna,155,2010-09-10 16:17:27,222,42,68,5,4.11,11,1,0,1,0,1,2,10,10,4,1
IpLRJY4CP3fXtlEd8Y4GFQ,Robyn,518,2009-04-11 14:35:46,1325,450,348,35,2.95,32,4,2,7,1,35,17,20,20,20,6
hluQms-QLpaqZASKlDCJHw,Adisak,70,2009-05-27 04:50:22,94,14,39,3,4.43,3,1,0,0,0,0,2,2,2,2,1
qsHZ6_yT870pmm4Oxvw5Og,Debbie,39,2011-06-16 01:55:54,68,14,19,5,3.85,0,1,0,0,0,0,1,0,0,0,0
ZIR96Kh35GvW2eLyQHJh1Q,David,319,2007-10-12 18:59:21,488,134,180,19,3.93,6,2,1,4,1,3,22,27,27,10,2
N4Y2GiUxnQOvUUHtFyayKg,Derek,90,2009-02-10 04:43:03,75,12,26,0,3.77,0,0,0,0,0,5,2,3,3,0,0
2l0O1EI1m0yWjFo2zSt71w,Shiho,2837,2005-07-02 01:59:55,19237,9542,15235,492,3.92,1018,108,85,79,40,350,742,1070,1070,403,258
RgDVC3ZUBqpEe6Y1kPhIpw,Monica,1282,2009-02-23 14:08:31,12640,10005,11149,804,4.17,1262,102,108,138,65,898,2584,1731,1731,551,177
V6PeLHJ8D1C7utl4HzjBmg,Jay,371,2010-01-26 21:04:52,2933,1129,1861,112,3.45,169,14,45,0,3,157,432,535,535,198,74
OmjMNG77obZOKQ59o-Tx4Q,Jenna,556,2008-11-16 05:10:49,606,248,326,31,3.85,19,4,5,7,1,15,54,47,47,25,4
B-OVAq7aQN1aPN3NiFekTg,Robert,105,2007-10-04 20:48:56,51,17,17,4,3.08,0,0,0,0,0,0,3,2,2,1,1
LwZJFLGxQwjjeOgpqTJnfw,Lucas,157,2010-09-21 18:14:11,92,38,37,5,3.63,0,2,0,0,0,4,1,5,5,1,5
lquc6IF6uGIeRomDLu9UnA,Ron,1044,2007-10-04 01:20:53,6025,1827,3151,241,3.9,254,33,23,12,37,390,1169,612,612,338,277
M7giQhu5iK0ESOoZi3gpfQ,Sandor,5,2011-03-03 22:47:50,2,0,2,1,4.5,0,1,0,0,0,0,1,0,0,0,0
3oDIaMM1bd7cwN0eKQv-rA,Shan,187,2007-06-15 20:02:41,313,91,131,9,3.81,6,3,0,1,0,17,15,13,13,2,0
X7SwvRrnsZ8I3bEPGELpnQ,Jennifer,666,2008-01-24 14:46:02,1329,590,470,47,3.28,51,8,7,7,0,26,69,80,80,25,15
YuRfPsIME6v5qYr3GfFzrg,Eric,57,2011-03-18 22:52:43,22,3,3,2,3.37,0,0,0,0,0,2,0,0,0,0,0
mqc6fRbm5ZBBl4J3203ctQ,Alicia,78,2009-07-13 03:08:13,247,110,169,6,3.86,14,4,0,3,0,4,27,30,30,7,2
n8bbgZJLENE4dC4E743ukQ,Caithlin,4,2010-12-17 19:29:57,4,0,5,0,3.5,0,0,0,0,0,0,0,0,0,0,0
-TT5e-YQU9xLb1JAGCGkQw,Daniel,183,2008-06-01 18:09:54,258,88,105,11,3.89,9,0,0,0,0,10,15,7,7,11,5
q7iWal_rXNSHkHeCMMvZxQ,Stephanie,500,2011-06-01 21:02:59,2546,1433,1862,104,3.95,324,25,2,15,7,187,339,325,325,143,77
0juMoWXC7z4c7LgQP2s3sA,JR,199,2011-03-18 11:58:09,482,150,131,9,3.4,12,2,0,0,0,5,3,13,13,16,1
vOUs1d2gsVGDkdH7_fKgMQ,Aimee,48,2010-09-18 01:05:17,89,14,22,1,4.2,0,1,0,0,0,2,0,0,0,1,0
OJorsQjotS1dIv--IVifCA,Cindy,252,2011-09-25 19:36:00,457,140,140,18,3.77,13,8,1,1,0,7,13,11,11,9,1
KxrKVxdXGkfMJ9XwJZzoLQ,Lisa,950,2008-10-16 21:03:02,1243,368,527,35,3.81,28,2,1,1,1,26,51,34,34,11,5
VHdY6oG2JPVNjihWhOooAQ,Jessica,2101,2005-07-21 01:16:04,47831,28830,44899,2627,4.22,6104,404,393,963,153,2124,16674,7324,7324,2313,548
eqS5lpxVMEzS_xaGP8NW_w,Connie,265,2008-02-14 04:54:46,475,54,261,8,4.2,9,3,1,0,0,21,4,30,30,14,0
zx2NykkcJd1vdOgoS_ZhjQ,Marek,50,2010-09-24 15:03:47,26,3,12,0,3.75,0,0,0,0,0,2,0,1,1,0,0
MRQL87mqMrLgLBNYE97ahg,Brad,141,2010-06-03 01:28:04,193,90,65,8,4.2,1,0,1,0,0,5,17,3,3,6,0
YJ6S9R50pE0FsSDn3Z8j2g,Rebecca,111,2007-06-29 02:06:46,205,45,123,7,3.74,9,4,1,1,0,13,10,13,13,7,2
ov9G-Mn1XGFp6m8sFEmEng,Erin,549,2009-08-21 17:28:19,948,280,511,55,4.05,35,6,4,1,10,22,53,62,62,30,2
LbPkYMGmsu4snHkY-Ri1ww,David,14,2011-03-05 05:28:00,10,3,2,2,4.71,0,0,0,0,0,3,1,0,0,0,0
3xrb0LpbaJ24Pkdyd55U8Q,Megan,54,2010-04-14 17:28:10,103,53,58,2,3.8,1,0,0,2,0,0,2,6,6,0,0
om5ZiponkpRqUNa3pVPiRg,Andrea,2811,2006-01-18 02:35:04,18545,9225,13824,1002,3.97,1317,136,88,214,102,1370,2284,1639,1639,437,189
K7thO1n-vZ9PFYiC7nTR2w,Yelper,1554,2007-12-26 23:05:41,11276,6580,8918,326,3.68,1178,182,108,69,58,1259,2765,1900,1900,844,105
lRTLBbMLzDrnuAdEVSLrqA,BJ,115,2009-02-05 23:38:48,46,18,14,2,3.77,0,0,0,0,0,3,5,9,9,0,1
asAdx4Q3cAMykgPgtQt6cg,Sylvester,123,2010-08-31 13:25:09,154,22,46,7,4.2,2,0,1,0,0,5,6,4,4,8,2
08VTr9hyJikxfimhk78jbg,Major,47,2010-12-01 22:28:42,63,18,6,1,3.77,0,0,0,0,0,0,1,1,1,0,0
c7XI431TnC9_AkmC-qrXvQ,Shawn,36,2008-01-08 21:56:34,116,67,92,2,3.91,9,2,0,0,0,4,5,8,8,0,0
8cRfVboGSLA_yc94mBwY-w,Nasilele,47,2009-03-26 00:38:50,68,14,28,3,4.38,1,1,0,0,0,0,0,4,4,1,0
PZE8NFD4XYMejKLFJm47bw,Britt,38,2008-05-26 18:47:44,106,34,88,10,3.85,9,4,0,2,0,3,4,9,9,4,1
uVtkixXCP7LXRpC1EedGpA,Paulina,77,2011-03-08 03:00:03,248,72,84,14,3.91,25,3,1,1,0,10,8,22,22,20,0
IVz8D3L33io-7Bp3NTo8Pw,Kat,129,2009-05-08 23:19:18,115,26,33,2,4.0,3,1,0,1,0,2,5,4,4,1,0
d9WIz0Xuh9ECkHfVmqbhIw,Jeff,324,2009-08-25 06:41:56,741,305,344,16,3.82,22,6,3,3,0,18,41,22,22,17,3
Y4DBgQUuecjUc7KGtWUVvA,Joanna,364,2006-05-23 01:55:48,1090,562,642,56,3.89,45,6,7,9,0,25,40,58,58,19,2
HmN7p502YMJGkBNv5bzi1w,Paulsegal,544,2008-01-04 17:55:57,521,218,164,19,3.75,1,4,1,2,0,21,22,10,10,4,7
8m2LgacB5VeP_1Mn5ZMC4w,Alan,4,2011-01-20 14:58:21,1,0,0,0,2.67,0,0,0,0,0,0,1,0,0,0,0
MvOXPiqRr9IjqVtwC5mUNA,Jessica,111,2010-08-01 20:00:52,286,91,119,10,3.77,13,0,0,1,0,12,15,21,21,8,0
PrJ37Ik9DxritxGPqI9ktw,David,85,2011-05-05 16:01:31,75,26,22,4,3.43,1,1,0,0,0,6,1,1,1,2,0
dHLL7SVGJw5uM6IEp_wb4Q,Constance,538,2010-07-30 22:23:15,694,357,359,23,3.5,72,8,14,4,3,26,57,82,82,46,1
UQFE3BT1rsIYrcDvu_XVow,Mike,1560,2005-07-22 23:17:54,2385,1288,1410,122,4.17,54,13,7,7,6,46,101,120,120,47,18
hSMVQ7MSh6B0OgPxFQFO8g,Reena,920,2009-01-25 06:23:45,2377,729,1415,88,3.95,214,25,16,28,20,127,361,343,343,86,30
MPQ5-SkAcPW5_uLn-7_jCw,Jocelyn,24,2009-03-16 18:16:41,49,4,16,2,4.16,1,1,0,0,0,1,1,2,2,3,0
jh-yu1Ap3TAwDS1ko6eqhg,Matt,27,2010-08-24 16:05:44,37,13,22,1,4.11,0,0,0,0,0,1,2,1,1,2,0
jVYzrVblDFSuL3GHtt8ZSA,Crystal,1030,2008-10-24 03:50:26,5300,3345,3909,364,3.99,842,70,45,114,52,592,2622,1270,1270,217,115
w-zD8Ln3XZszM82AfVrspg,Robin,90,2008-05-05 02:55:07,137,36,66,5,4.11,2,2,0,1,0,4,5,9,9,3,1
3zxy3LVBV3ttxoYbY4rQ8A,Farrah,2073,2008-05-12 09:13:06,27350,11667,17603,2073,3.95,1575,180,171,247,162,1575,8734,2651,2651,755,588
bF2xmRxR_eyJ-HRs-ClOmw,Calysta,159,2009-07-16 15:25:27,255,194,145,6,3.53,4,4,2,0,0,2,9,7,7,10,0
qqOcmpUctU-Zn_DxhgW-Vw,Camille,502,2008-02-02 19:38:43,1233,347,713,55,3.55,50,20,6,8,4,27,81,58,58,50,13
Axd4L6VSBZ6QkHtqJAeCaw,Amanda,283,2008-05-03 21:46:52,741,177,486,41,3.62,45,8,5,2,2,19,23,55,55,23,2
KrIL3TIOJI-tjvU6BlcA-g,Elisabeth,141,2010-06-17 22:38:44,225,58,83,18,4.22,4,5,3,0,0,9,5,7,7,4,0
2mdlIKeLV04q_wcPqNvRWA,B,172,2008-07-13 17:37:16,267,393,198,8,3.03,5,7,0,1,3,10,10,21,21,5,1
I7YQFiIsO82eliq8nqsLfA,Michelle,885,2010-04-26 20:45:56,2501,485,767,50,3.84,35,13,1,1,4,29,40,72,72,26,7
yOwqfhtwO6q-6gzEhL1meg,Jameson,9,2009-06-14 16:41:04,48,24,33,3,3.2,2,3,0,1,0,1,0,2,2,4,0
NF7_K38Hc6G4R3hvEhT0dw,Jake,209,2007-09-29 03:45:23,210,83,53,5,2.91,1,3,0,0,0,3,1,1,1,1,0
FlhZYUEhfpfm0Ynxacftwg,Kate,94,2010-07-18 11:33:39,124,166,80,6,4.1,3,0,0,1,0,4,7,6,6,2,1
l4F2AnWqg3AibuQBN-tYcA,Andrea,12,2011-05-03 13:19:41,13,4,2,1,3.42,0,0,0,0,0,1,0,0,0,0,0
gRL9s6ENxV1qermRYDWjPQ,Moira,182,2010-08-18 05:34:05,573,146,271,12,3.8,34,19,3,1,1,23,37,48,48,36,0
0G-QF457q_0Z_jKqh6xWiA,Joi,2009,2008-03-12 19:13:45,27137,14049,20385,944,4.1,1729,129,105,152,76,2073,6409,2442,2442,1117,462
1_pwoHx0CjDwfSAI7jRpzQ,Lauren,205,2008-09-12 20:34:26,423,435,289,27,3.64,45,6,7,13,5,32,26,40,40,9,5
JhBHocI4yDmi2fus7UbKRw,Shells,20,2009-08-06 20:58:37,13,4,3,2,3.7,0,0,0,0,0,0,0,1,1,0,0
DgsKBCbBqbFv6dCO_czBIg,Laura,43,2008-04-23 17:33:40,134,24,14,0,3.3,0,0,0,0,0,2,1,0,0,0,0
ACkFmmPuBT6rsJ_yxA1DaQ,Stephanie,72,2009-03-06 04:22:00,79,35,38,7,3.95,1,0,0,0,0,2,0,1,1,1,0
MCcz4FmJQaqnIv6pzeS1VQ,Maribel,483,2009-01-05 22:36:08,2036,1265,1467,41,3.27,148,7,8,18,4,93,183,245,245,49,32
2aYKApNwS5gi1XS_V6qYJg,Carmen,296,2008-05-15 23:30:56,628,113,120,22,3.5,4,6,2,0,1,9,10,6,6,5,0
6GHPzEmQNTjC7E3P9VF44w,Rachel,394,2008-06-04 18:44:01,787,416,425,22,3.71,29,2,0,0,0,18,14,52,52,11,3
xwLpDq-rYnyObtBZCD0Wgg,Ellie,191,2009-02-26 13:42:02,281,71,70,7,3.51,1,2,0,0,0,9,14,4,4,4,1
6aJNIB8yGHDiwrzyxlExRw,J.,629,2009-07-22 19:48:45,739,133,141,15,3.82,2,3,0,0,1,5,17,11,11,3,8
CxpPcC2NCCAj_eXykAFCnA,Barbara,76,2007-02-04 22:20:05,82,15,99,6,3.66,7,6,0,2,1,1,2,4,4,0,0
xReXrRlxECFpHSS9F5hBCQ,Jon,34,2010-07-29 18:57:08,9,1,1,0,4.83,0,0,0,0,0,1,1,0,0,0,0
GPKYStqHcKtNYVLy2PvgoQ,Nick,80,2009-04-01 08:35:30,178,34,60,3,4.25,2,1,1,0,0,3,15,2,2,5,0
sHwBXS0trP0CC_f5K_11VA,Tai,823,2009-07-09 21:44:43,2913,2196,2342,83,3.77,608,80,88,11,33,197,361,612,612,281,49
C0hNXqJZJuly7et8sSvSAQ,Michael,69,2008-02-07 08:38:27,220,172,176,16,3.63,36,11,0,5,3,40,44,64,64,16,17
IxkpteGXdi41e_WuyDxlww,Anthony,26,2009-01-04 05:06:33,23,2,9,0,4.19,2,0,0,0,0,0,0,0,0,0,0
rwamCBmlGdcdcyRoUcC4kQ,Jim,3,2011-01-27 01:30:16,0,1,2,0,4.67,0,0,0,0,0,3,0,0,0,0,0
A5UnAt6EYlDh2PPMpAHV_w,Sarah,10,2010-01-26 20:40:28,26,5,13,2,3.9,0,0,0,0,0,0,0,2,2,1,0
lNPRvk3WRgsJb-UEJ0J40g,Matty,72,2008-03-21 16:50:15,151,141,139,7,4.07,4,5,0,0,1,10,6,16,16,1,0
ITa3vh5ERI90G_WP4SmGUQ,Peter,3193,2008-05-06 01:30:13,45810,48231,35149,2388,4.01,2352,368,336,345,342,2466,9175,4471,4471,1580,682
582iTyqKkoHeBFPMJuQEJw,Chris,319,2006-12-21 03:58:10,667,425,437,29,3.88,36,9,4,6,2,49,129,96,96,25,3
iEONL-v4W46yliYsovCP_g,Dan,947,2007-09-24 21:15:37,4028,887,2159,89,3.65,86,23,21,3,23,97,360,169,169,63,79
nDPpFNHBId4o5kjKLpubJg,Lizzie,39,2009-05-17 22:10:06,71,17,11,2,4.19,0,0,0,0,0,0,0,1,1,0,0
g_HiAtI7YBc9rpEhm4qvYg,Sarah,136,2008-02-28 04:44:26,140,29,44,9,4.2,6,7,0,0,0,3,6,3,3,3,0
DEbiQnC6NsTkddrOm3SF6Q,The,162,2008-02-28 20:25:33,220,49,30,3,2.95,1,1,0,0,0,12,11,9,9,1,0
2Od6rQYNvPUXQC2Go7vIqg,Catherine,986,2007-08-22 17:13:14,628,105,223,21,3.63,7,2,1,0,0,8,14,9,9,7,1
_SmK7sPegNCXH-oYR7503A,Jen,147,2006-01-18 18:01:34,178,43,75,13,3.75,3,3,0,0,3,6,6,10,10,3,0
2q6LXB2ZR9LiAk0Ltww-Gw,Kristi,11,2011-03-19 22:37:14,30,4,0,0,3.45,0,0,0,0,0,0,1,0,0,0,0
8zkkuk8KOoNojZhTx0j5KA,Melissa,159,2010-02-05 22:30:21,256,51,77,11,3.67,15,5,2,0,0,3,6,6,6,12,2
ZhK2xIa4f73JZfua7IP8vA,Steve,690,2010-01-19 02:44:55,959,425,378,48,3.64,14,7,2,0,0,11,29,19,19,16,2
4iX1eeMV0VQa7SlN6UXJOw,Matthew,69,2011-02-17 02:11:33,60,14,5,1,3.79,1,1,0,0,0,3,0,4,4,7,1
Q5jOFJYhIsN8ouJ1rnsLQQ,Matthew,593,2006-06-21 20:03:01,1216,307,502,36,3.79,41,6,1,1,2,32,69,88,88,69,3
N_mkNFTiBCw2bbF_TJY9Ug,Ale,41,2007-06-06 06:58:04,78,18,26,2,3.99,4,4,2,0,1,12,21,22,22,3,0
IPzVg0wE9EW2_VfJI0Uzgg,Pat,449,2006-01-04 22:31:35,510,136,204,10,3.82,4,4,1,1,0,7,17,6,6,5,1
P3SCIo2ExYs2-eehTNSv4Q,Noah,74,2009-12-01 19:14:15,329,229,224,8,3.72,4,3,0,1,0,5,19,5,5,4,1
P5bUL3Engv-2z6kKohB6qQ,Kim,9941,2006-05-31 21:27:42,27549,10772,21375,825,3.81,841,130,113,47,34,511,1073,1199,1199,482,252
VpREWOjt5Pna6OIgXI9Jcg,Tara,327,2007-10-25 00:56:30,2000,1436,1899,101,3.78,827,35,24,160,38,87,194,669,669,123,37
ukCAVNbolx0_gaAkDYZnEA,Trish,759,2006-11-05 06:24:29,2485,2156,1843,70,3.7,593,48,46,125,37,381,504,529,529,95,55
qF1V8GyuLL5Fpv40Cyturw,Jacob,228,2009-10-26 16:24:27,453,58,183,13,3.71,6,4,3,0,9,6,27,24,24,16,0
clirF7pph8EPEoMtvrcj0w,Lauren,373,2009-08-04 21:48:51,708,279,375,34,4.2,35,2,3,5,2,32,61,65,65,26,23
bQ_qlqlZRFgfRlqveB-ILg,Rachel,585,2010-06-30 14:35:13,866,196,281,39,3.92,25,5,2,2,11,29,56,57,57,41,5
PadmV2GEoA6mWpQUpPh7Ig,Monica,695,2006-11-08 18:36:50,1559,951,861,104,3.82,223,27,15,34,9,78,155,214,214,95,57
ouODopBKF3AqfCkuQEnrDg,Danan,2108,2010-04-09 05:28:01,4527,1110,2850,134,3.57,62,15,20,10,1,65,87,89,89,92,6
M74ZUoNHNOcQp1jJLlt3jA,Vivian Eri,17,2011-08-06 20:17:30,11,2,2,0,4.24,0,0,0,0,0,0,0,0,0,0,0
CDjeQhhH7ZoSKBDQ5_O3ag,Dave,391,2006-08-15 01:27:52,1174,233,544,39,3.89,21,10,6,0,1,36,119,79,79,19,7
-RApyq06DMBii7ovXtQnfw,Garen,1000,2010-07-13 01:21:32,1821,644,829,87,3.66,13,5,4,1,0,12,23,22,22,13,17
XvL3WrRN0_3hw0P5tO0J1Q,Peteen,557,2007-05-07 22:25:48,2002,2234,1812,79,4.14,447,34,34,65,16,177,468,426,426,55,44
bCsS9EJOBTIxRGiqixB5rw,Tiffany,46,2010-10-14 22:55:15,69,26,19,1,3.08,1,0,0,0,0,4,2,2,2,2,1
8Akq8sh1LSmJbqa6Jjxxqg,Todd,376,2009-01-15 16:40:06,1373,723,639,41,3.5,52,11,6,2,10,60,181,121,121,46,9
YMgZqBUAddmFErxLtCfK_w,Samantha,1985,2009-03-16 23:41:53,6485,2438,4159,186,3.65,104,14,9,2,13,74,128,187,187,126,69
SSp_Idg6Ge-Lb6T99kgKSA,Michael,5,2012-01-30 22:45:09,13,5,6,0,5.0,0,0,0,0,0,0,0,0,0,0,0
R67_W_HXmsO-bd872AKw8Q,Olin,651,2010-07-05 14:23:00,599,246,154,22,3.02,18,3,0,2,0,21,64,30,30,4,0
Jw4OHr6HibJeEIMfAxc1_Q,Judy,707,2009-01-04 18:51:16,1064,314,643,41,3.65,17,10,3,3,5,42,76,66,66,53,7
iaDFNFfwwVmc_v3k3_cU1A,Felicia,275,2009-02-18 06:35:37,265,96,125,17,3.45,8,0,2,2,0,2,8,12,12,4,3
xHzU9LKwxGHq7BNPA16gog,Bill,48,2010-11-16 20:23:59,207,359,133,16,3.17,0,2,0,0,0,7,4,0,0,5,2
gYDFiPYFCeY52vvMvvy5Pw,Jamie,193,2009-08-27 19:07:33,411,120,178,18,4.03,43,7,6,3,3,8,35,43,43,19,1
0kSXMbNFo7mdwTPj4iQv9A,Archie,1022,2008-11-25 08:46:24,13103,14383,11590,319,2.98,1113,246,136,148,46,841,2862,1453,1453,895,82
HzoQKKHDq9BI37dyJAAtGA,Jim,1145,2010-03-15 12:08:15,2765,1022,1741,109,3.67,127,14,10,5,4,100,308,224,224,71,41
627ihUMdDCxyXw1mOj1MVA,Jackie,366,2007-08-10 19:55:50,1484,898,1141,63,3.95,184,12,11,21,2,57,171,229,229,96,28
oW2bCSJ5bIHyRnoZvkHwDg,Uncle Fishbits Aeneas,1680,2006-07-13 18:48:44,4128,2741,3278,158,4.14,218,52,18,82,14,212,384,455,455,136,88
